id,title,date,section,url,html_path,attachments,attachments_count
860438,关于采集2025年度教师编写教材情况数据的通知,2026-07-17,通知,https://jwc.jnu.edu.cn/2026/0717/c6765a860438/page.htm,data_cleaning\raw\通知\html\860438.html,data_cleaning\raw\通知\attachments\附件1-3.rar,1
859995,关于公布2026年度暨南大学“AI+”应用创新大赛获奖名单的通知,2026-07-13,通知,https://jwc.jnu.edu.cn/2026/0713/c6765a859995/page.htm,data_cleaning\raw\通知\html\859995.html,data_cleaning\raw\通知\attachments\附件：2026年度暨南大学“AI+”应用创新大赛获奖名单.pdf,1
860093,关于做好从2027届本科毕业生（内招生）中推荐免初试攻读研究生工作的通知,2026-07-13,通知,https://jwc.jnu.edu.cn/2026/0713/c6765a860093/page.htm,data_cleaning\raw\通知\html\860093.html,data_cleaning\raw\通知\attachments\1.《暨南大学优秀应届本科毕业生(内招生)免试攻读研究生推荐工作实施办法（2026修订）》（暨教〔2026〕25号文）;data_cleaning\raw\通知\attachments\2. 推免申请报名---学生使用手册202607.pdf;data_cleaning\raw\通知\attachments\3. 推免报名管理----学院使用手册202607.pdf,3
859122,暨南大学关于开展2026年新时代高校哲学社会科学原创性教材建设培育项目校内遴选工作的通知,2026-07-07,通知,https://jwc.jnu.edu.cn/2026/0707/c6765a859122/page.htm,data_cleaning\raw\通知\html\859122.html,data_cleaning\raw\通知\attachments\附件1-4.zip,1
859020,关于2026年暑期课程选课与缴费的通知,2026-07-07,通知,https://jwc.jnu.edu.cn/2026/0707/c6765a859020/page.htm,data_cleaning\raw\通知\html\859020.html,,0
858826,统一身份认证平台,2026-07-06,通知,https://jwc.jnu.edu.cn/2026/0706/c6765a858826/page.htm,data_cleaning\raw\通知\html\858826.html,,0
858085,关于《中法品牌与知识产权管理》等10个微专业撤班的通知,2026-07-01,通知,https://jwc.jnu.edu.cn/2026/0701/c6765a858085/page.htm,data_cleaning\raw\通知\html\858085.html,,0
857852,统一身份认证平台,2026-06-29,通知,https://jwc.jnu.edu.cn/2026/0629/c6765a857852/page.htm,data_cleaning\raw\通知\html\857852.html,,0
857693,关于做好2025-2026学年第二学期期末考试工作的通知,2026-06-24,通知,https://jwc.jnu.edu.cn/2026/0624/c6765a857693/page.htm,data_cleaning\raw\通知\html\857693.html,data_cleaning\raw\通知\attachments\石牌、番禺校区期末巡考值班安排表.xlsx,1
857619,关于开展2025-2026学年第二学期期末本科教学检查工作的通知,2026-06-23,通知,https://jwc.jnu.edu.cn/2026/0623/c6765a857619/page.htm,data_cleaning\raw\通知\html\857619.html,,0
857551,关于开展2025-2026学年第二学期2022级及2023级本科生创新学分认定工作的通知,2026-06-22,通知,https://jwc.jnu.edu.cn/2026/0622/c6765a857551/page.htm,data_cleaning\raw\通知\html\857551.html,data_cleaning\raw\通知\attachments\68d4edd7-f43e-47ba-9ae8-e9ba291001f6.docx;data_cleaning\raw\通知\attachments\《暨南大学本科生创新学分认定办法（试行）》（暨教通〔2023〕1号）.pdf;data_cleaning\raw\通知\attachments\2024年全国普通高校学科竞赛排行榜榜单.pdf;data_cleaning\raw\通知\attachments\2022级、2023级参与“赢在创新”比赛系列活动及创业大讲堂累计满10次及以上学生名单.pdf;data_cleaning\raw\通知\attachments\创新学分操作手册（学生）.pdf;data_cleaning\raw\通知\attachments\创新学分操作手册（院级管理员）.pdf,6
857469,暨南大学关于2026年秋季本科微专业 招生报名的通知,2026-06-21,通知,https://jwc.jnu.edu.cn/2026/0621/c6765a857469/page.htm,data_cleaning\raw\通知\html\857469.html,data_cleaning\raw\通知\attachments\暨南大学2026年全日制本科学生微专业开设情况表.zip;data_cleaning\raw\通知\attachments\学生报名操作指南.docx,2
